pattern_id,pattern_name,category,description,behavior_signature,risk_level,recommended_action,expected_agent_response,expected_customer_response
PAT0183,Job Scam Variant #183,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0184,Lottery Scam Variant #184,Lottery Scam,Variant of lottery scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,I didn't realize this was a scam. I will not proceed.
PAT0185,Investment Scam Variant #185,Investment Scam,Variant of investment scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,Thank you for the warning. I will cancel this transaction.
PAT0186,Job Scam Variant #186,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I didn't realize this was a scam. I will not proceed.
PAT0187,Phishing Variant #187,Phishing,Variant of phishing using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,Thank you for the warning. I will cancel this transaction.
PAT0188,Tech Support Scam Variant #188,Tech Support Scam,Variant of tech support scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0189,Phishing Variant #189,Phishing,Variant of phishing using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,I appreciate the alert. Let me verify this independently first.
PAT0190,Job Scam Variant #190,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0191,Crypto Scam Variant #191,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,Thank you for the warning. I will cancel this transaction.
PAT0192,Impersonation Scam Variant #192,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,Thank you for the warning. I will cancel this transaction.
PAT0193,Deepfake Scam Variant #193,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I appreciate the alert. Let me verify this independently first.
PAT0194,Impersonation Scam Variant #194,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I appreciate the alert. Let me verify this independently first.
PAT0195,Job Scam Variant #195,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0196,Investment Scam Variant #196,Investment Scam,Variant of investment scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,Thank you for the warning. I will cancel this transaction.
PAT0197,Deepfake Scam Variant #197,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I appreciate the alert. Let me verify this independently first.
PAT0198,Deepfake Scam Variant #198,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,Thank you for the warning. I will cancel this transaction.
PAT0199,Investment Scam Variant #199,Investment Scam,Variant of investment scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,Thank you for the warning. I will cancel this transaction.
PAT0200,Crypto Scam Variant #200,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I appreciate the alert. Let me verify this independently first.
